pitcher,pitcher_name,season,row_count,status,actual_data_source,verification_source
502043,Kyle Gibson,2023,3071,LOADED,mlb_statcast,Statcast pitcher-season response
502043,Kyle Gibson,2024,3001,LOADED,mlb_statcast,Statcast pitcher-season response
502043,Kyle Gibson,2025,280,LOADED,mlb_statcast,Statcast pitcher-season response
519242,Chris Sale,2023,1672,LOADED,mlb_statcast,Statcast pitcher-season response
519242,Chris Sale,2024,2956,LOADED,mlb_statcast,Statcast pitcher-season response
519242,Chris Sale,2025,2327,LOADED,mlb_statcast,Statcast pitcher-season response
527048,Martín Pérez,2023,2315,LOADED,mlb_statcast,Statcast pitcher-season response
527048,Martín Pérez,2024,2438,LOADED,mlb_statcast,Statcast pitcher-season response
527048,Martín Pérez,2025,1134,LOADED,mlb_statcast,Statcast pitcher-season response
542881,Tyler Anderson,2023,2435,LOADED,mlb_statcast,Statcast pitcher-season response
542881,Tyler Anderson,2024,3059,LOADED,mlb_statcast,Statcast pitcher-season response
542881,Tyler Anderson,2025,2651,LOADED,mlb_statcast,Statcast pitcher-season response
543037,Gerrit Cole,2023,3286,LOADED,mlb_statcast,Statcast pitcher-season response
543037,Gerrit Cole,2024,2032,LOADED,mlb_statcast,Statcast pitcher-season response
543037,Gerrit Cole,2025,100,LOADED,mlb_statcast,Statcast pitcher-season response
543294,Kyle Hendricks,2023,2112,LOADED,mlb_statcast,Statcast pitcher-season response
543294,Kyle Hendricks,2024,2413,LOADED,mlb_statcast,Statcast pitcher-season response
543294,Kyle Hendricks,2025,2866,LOADED,mlb_statcast,Statcast pitcher-season response
554430,Zack Wheeler,2023,3560,LOADED,mlb_statcast,Statcast pitcher-season response
554430,Zack Wheeler,2024,3450,LOADED,mlb_statcast,Statcast pitcher-season response
554430,Zack Wheeler,2025,2620,LOADED,mlb_statcast,Statcast pitcher-season response
573186,Marcus Stroman,2023,2208,LOADED,mlb_statcast,Statcast pitcher-season response
573186,Marcus Stroman,2024,2945,LOADED,mlb_statcast,Statcast pitcher-season response
573186,Marcus Stroman,2025,945,LOADED,mlb_statcast,Statcast pitcher-season response
579328,Yusei Kikuchi,2023,2839,LOADED,mlb_statcast,Statcast pitcher-season response
579328,Yusei Kikuchi,2024,3099,LOADED,mlb_statcast,Statcast pitcher-season response
