Model Key,Model / System,Validation Episode Recall,Validation Warning Precision,Validation False Warnings / Outing,Allowed Maximum False Warnings / Outing,Test Episode Recall,Test Warning Precision,Test False Warnings / Outing,Test Clean Outing FAR,Test Pitch PR-AUC,Test Risk Ratio (Alert vs No Alert),Test Risk Ratio Status,Validation-Selected Threshold,Threshold Status,Test Qualified Outings,Test Outings With Available Score,Test Outings Without Available Score,Test Pitch Scoring Coverage,Test Outing Scoring Coverage,Test Evaluated Episodes,Actual Data Source,Interpretation,Experiment,run_id,protocol_sha256
proposed,Proposed Micro-Mechanics (CUSUM + MSI),0.101,0.327,0.469,0.5,0.097,0.333,0.434,0.486,0.35,1.06,defined,211.9586,selected,708,708,0,0.981,1.0,1581,mlb_statcast,Mechanical-drift score; association is not evidence of fatigue causality.,Primary frozen 2025 test,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
contextual,Contextual Model (Pitch Count + TTO + Inning),0.103,0.326,0.48,0.5,0.096,0.302,0.496,0.405,0.346,1.02,defined,0.5179,selected,708,708,0,1.0,1.0,1581,mlb_statcast,Fit on 2023 only; threshold selected on 2024 validation data.,Primary frozen 2025 test,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
velocity,Pitch-Type Velocity Drop (FF/SI/FC separately),0.0,1.0,0.0,0.5,0.0,0.0,0.001,0.0,0.337,0.0,defined,4.4467,selected,708,708,0,0.5,1.0,1581,mlb_statcast,A contemporaneous velocity benchmark; relative risk alone does not establish timing.,Primary frozen 2025 test,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
pitch_count,Traditional Pitch Count,0.117,0.361,0.465,0.5,0.112,0.372,0.422,0.568,0.338,0.99,defined,78.0,selected,708,708,0,1.0,1.0,1581,mlb_statcast,A workload heuristic with the same validation selection rule.,Primary frozen 2025 test,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
