season,dataset_split,score_status,pitch_type,actual_data_source,pitch_count,run_id,protocol_sha256
2023,train,INSUFFICIENT_PITCH_TYPE_OBSERVATIONS,CU,mlb_statcast,204,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2023,train,INSUFFICIENT_PITCH_TYPE_OBSERVATIONS,FC,mlb_statcast,61,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2023,train,INSUFFICIENT_PITCH_TYPE_OBSERVATIONS,FF,mlb_statcast,190,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2023,train,INSUFFICIENT_PITCH_TYPE_OBSERVATIONS,FS,mlb_statcast,37,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2023,train,INSUFFICIENT_PITCH_TYPE_OBSERVATIONS,KC,mlb_statcast,34,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2023,train,INSUFFICIENT_PITCH_TYPE_OBSERVATIONS,PO,mlb_statcast,4,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2023,train,INSUFFICIENT_PITCH_TYPE_OBSERVATIONS,SI,mlb_statcast,229,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2023,train,INSUFFICIENT_PITCH_TYPE_OBSERVATIONS,SL,mlb_statcast,162,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2023,train,INSUFFICIENT_PITCH_TYPE_OBSERVATIONS,ST,mlb_statcast,196,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2023,train,MISSING_FEATURES,CH,mlb_statcast,23,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2023,train,MISSING_FEATURES,CU,mlb_statcast,2,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2023,train,MISSING_FEATURES,FC,mlb_statcast,4,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2023,train,MISSING_FEATURES,FF,mlb_statcast,15,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2023,train,MISSING_FEATURES,KC,mlb_statcast,1,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2023,train,MISSING_FEATURES,SI,mlb_statcast,12,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2023,train,MISSING_FEATURES,SL,mlb_statcast,17,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2023,train,MISSING_FEATURES,ST,mlb_statcast,15,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2024,validation,CALIBRATION_PHASE,CH,mlb_statcast,2250,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2024,validation,CALIBRATION_PHASE,CU,mlb_statcast,911,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2024,validation,CALIBRATION_PHASE,FC,mlb_statcast,1872,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
