Model Key,Model / System,Validation Episode Recall,Validation Warning Precision,Validation False Warnings / Outing,Allowed Maximum False Warnings / Outing,Test Episode Recall,Test Warning Precision,Test False Warnings / Outing,Test Clean Outing FAR,Test Pitch PR-AUC,Test Risk Ratio (Alert vs No Alert),Test Risk Ratio Status,Validation-Selected Threshold,Threshold Status,Test Qualified Outings,Test Outings With Available Score,Test Outings Without Available Score,Test Pitch Scoring Coverage,Test Outing Scoring Coverage,Test Evaluated Episodes,Actual Data Source,Interpretation,Experiment,run_id,protocol_sha256
proposed,Proposed Micro-Mechanics (CUSUM + MSI),0.081,0.326,0.384,0.5,0.066,0.35,0.267,0.381,0.34,0.93,defined,235.1294,selected,446,446,0,0.986,1.0,973,mlb_statcast,Mechanical-drift score; association is not evidence of fatigue causality.,Historical July-December 2024 test,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
contextual,Contextual Model (Pitch Count + TTO + Inning),0.098,0.317,0.49,0.5,0.114,0.329,0.507,0.429,0.348,1.07,defined,0.5178,selected,446,446,0,1.0,1.0,973,mlb_statcast,Fit on 2023 only; threshold selected on 2024 validation data.,Historical July-December 2024 test,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
velocity,Pitch-Type Velocity Drop (FF/SI/FC separately),0.001,1.0,0.0,0.5,0.0,,0.0,0.0,0.343,,missing_exposure_group,4.4467,selected,446,446,0,0.522,1.0,973,mlb_statcast,A contemporaneous velocity benchmark; relative risk alone does not establish timing.,Historical July-December 2024 test,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
pitch_count,Traditional Pitch Count,0.113,0.361,0.461,0.5,0.121,0.36,0.471,0.762,0.343,0.95,defined,78.0,selected,446,446,0,1.0,1.0,973,mlb_statcast,A workload heuristic with the same validation selection rule.,Historical July-December 2024 test,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
