resampling_unit,comparison,metric,estimate,ci_lower_95,ci_upper_95,zero_denominator_frequency,bootstrap_samples,cluster_count,actual_data_source
pitcher,pitch_count,risk_ratio_alert_vs_no_alert,0.9905094220222191,0.8615138101505018,1.10137698795085,0.0,1000,34,mlb_statcast
pitcher,proposed_minus_contextual,episode_recall,0.0006325110689437002,-0.034287627922456106,0.026945290622871404,0.0,1000,34,mlb_statcast
pitcher,proposed_minus_contextual,warning_precision,0.03042181692453977,-0.06148652875200459,0.11037774168200613,0.0,1000,34,mlb_statcast
pitcher,proposed_minus_contextual,false_warnings_per_outing,-0.06214689265536727,-0.18512385089750352,0.06509996386848126,0.0,1000,34,mlb_statcast
pitcher,proposed_minus_contextual,risk_ratio_alert_vs_no_alert,0.04168061127036493,-0.1696764553270403,0.23113095592474248,0.0,1000,34,mlb_statcast
pitcher,proposed_minus_velocity,episode_recall,0.0967741935483871,0.07511932060580205,0.11570804381907214,0.0,1000,34,mlb_statcast
pitcher,proposed_minus_velocity,warning_precision,0.33260869565217394,0.2820353566958698,0.3911452013486929,0.388,1000,34,mlb_statcast
pitcher,proposed_minus_velocity,false_warnings_per_outing,0.43220338983050843,0.38326783492018124,0.48543359637537775,0.0,1000,34,mlb_statcast
pitcher,proposed_minus_velocity,risk_ratio_alert_vs_no_alert,1.0578822610462262,0.9296156701850079,1.1895024809186354,0.388,1000,34,mlb_statcast
pitcher,proposed_minus_pitch_count,episode_recall,-0.015180265654648958,-0.03188062130785044,1.3564839934876255e-05,0.0,1000,34,mlb_statcast
pitcher,proposed_minus_pitch_count,warning_precision,-0.039240043843624395,-0.0991271133780429,0.01828030253375542,0.0,1000,34,mlb_statcast
pitcher,proposed_minus_pitch_count,false_warnings_per_outing,0.011299435028248539,-0.04444442424330577,0.07461075441412521,0.0,1000,34,mlb_statcast
pitcher,proposed_minus_pitch_count,risk_ratio_alert_vs_no_alert,0.06737283902400704,-0.023676366857534034,0.1546781759718845,0.0,1000,34,mlb_statcast
